Sr. No,State/UT,Confirmed,Recovered,Deceased
1,Andhra Pradesh,86,1,1
2,Andaman and Nicobar,10,0,0
3,Assam,5,0,0
4,Bihar,24,0,1
5,Chandigarh,16,0,0
6,Chhattisgarh,9,2,0
7,Delhi,219,8,4
8,Goa,5,0,0
9,Gujarat,87,8,7
10,Haryana,43,21,0
11,Himachal Pradesh,3,1,1
12,Jammu and Kashmir,62,2,2
13,Jharkhand,1,0,0
14,Karnataka,110,9,3
15,Kerala,265,25,2
16,Ladakh,13,3,0
17,Madhya Pradesh,99,0,6
18,Maharashtra,335,42,13
19,Manipur,1,0,0
20,Mizoram,1,0,0
21,Odisha,4,0,0
22,Puducherry,3,1,0
23,Punjab,46,1,4
24,Rajasthan,108,3,0
25,Tamil Nadu,234,6,1
26,Telengana,107,1,3
27,Uttarakhand,7,2,0
28,Uttar Pradesh,113,14,2
29,West Bengal,53,6,3
